year,month,day,requests,bids,wins,bidprice,winprice,pixels,clicks
2016,12,1,0,0,0,0,0,0,0
2016,12,2,0,0,0,0,0,0,0
2016,12,3,0,0,0,0,0,0,0
2016,12,4,0,0,0,0,0,0,0
2016,12,5,0,0,0,0,0,0,0
2016,12,6,0,0,0,0,0,0,0
2016,12,7,0,0,0,0,0,0,0
2016,12,8,0,0,0,0,0,0,0
2016,12,9,0,0,0,0,0,0,0
2016,12,10,0,0,0,0,0,0,0
2016,12,11,0,0,0,0,0,0,0
2016,12,12,0,0,0,0,0,0,0
2016,12,13,0,0,0,0,0,0,0
2016,12,14,0,0,0,0,0,0,0
2016,12,15,0,0,0,0,0,0,0
2016,12,16,0,0,0,0,0,0,0
2016,12,17,0,0,0,0,0,0,0
2016,12,18,0,0,0,0,0,0,0
2016,12,19,0,0,0,0,0,0,0
2016,12,20,0,0,0,0,0,0,0
2016,12,21,0,0,0,0,0,0,0
2016,12,22,0,0,0,0,0,0,0
2016,12,23,0,0,0,0,0,0,0
2016,12,24,0,0,0,0,0,0,0
2016,12,25,0,0,0,0,0,0,0
2016,12,26,0,0,0,0,0,0,0
2016,12,27,0,0,0,0,0,0,0
2016,12,28,574304,574304,0,574.3040,0,0,0
2016,12,29,42100,42100,0,42.1000,0,0,0
2016,12,30,0,0,0,0,0,0,0
